STRM,SUBJECT,CATALOG_NBR,LOCATION,ENRL_CAP,SSR_COMPONENT,ENRL_TOT,INSTRUCTORS
1021,CMPT,XX1,KAM,20,SEC,11,
1021,CMPT,100,BURNABY,50,LEC,34,
1021,CMPT,101,BURNABY,140,LEC,137,
1021,CMPT,101,BURNABY,140,LEC,98,
1021,CMPT,102,BURNABY,100,LEC,62,
1021,CMPT,104,BURNABY,10,LEC,2,
1021,CMPT,104,BURNABY,10,LEC,4,
1021,CMPT,110,BURNABY,100,LEC,95,
1021,CMPT,150,BURNABY,125,LEC,105,
1021,CMPT,150,BURNABY,14,TUT,13,
1021,CMPT,150,BURNABY,14,TUT,12,
1021,CMPT,150,BURNABY,19,TUT,16,
1021,CMPT,150,BURNABY,14,TUT,10,
1021,CMPT,150,BURNABY,19,TUT,16,
1021,CMPT,150,BURNABY,15,TUT,14,
1021,CMPT,150,BURNABY,15,TUT,12,
1021,CMPT,150,BURNABY,15,TUT,12,
1021,CMPT,150,BURNABY,132,LEC,92,
1021,CMPT,150,BURNABY,14,TUT,13,
1021,CMPT,150,BURNABY,14,TUT,12,
1021,STAT,899,BURNABY,20,SEC,6,
1024,CMPT,101,BURNABY,145,LEC,120,
1024,CMPT,101,BURNABY,5,LEC,0,
1024,CMPT,104,BURNABY,10,LEC,8,
1024,CMPT,110,BURNABY,125,LEC,98,
1024,CMPT,110,BURNABY,5,LEC,1,
1024,CMPT,150,BURNABY,120,LEC,78,
1024,CMPT,150,BURNABY,20,TUT,17,
1024,CMPT,150,BURNABY,17,TUT,14,
1024,CMPT,150,BURNABY,17,TUT,10,
1024,CMPT,150,BURNABY,10,TUT,5,
1024,CMPT,150,BURNABY,16,TUT,13,
1024,CMPT,150,BURNABY,20,TUT,15,
1024,CMPT,150,BURNABY,10,TUT,1,
1024,CMPT,150,BURNABY,10,TUT,3,
1024,CMPT,150,BURNABY,1,LEC,0,
1024,CMPT,165,BURNABY,110,LEC,104,
1024,CMPT,201,BURNABY,140,LEC,92,
1024,CMPT,201,BURNABY,1,LEC,1,
1024,CMPT,275,BURNABY,85,LEC,87,
1024,CMPT,275,BURNABY,5,LEC,0,
1024,CMPT,300,BURNABY,65,LEC,70,
1024,CMPT,300,BURNABY,5,LEC,1,
1024,CMPT,301,BURNABY,65,LEC,66,
1024,CMPT,307,BURNABY,65,LEC,66,
1024,CMPT,307,BURNABY,5,LEC,0,
1024,CMPT,320,BURNABY,65,LEC,68,
1024,CMPT,320,BURNABY,17,TUT,17,
1024,CMPT,320,BURNABY,18,TUT,17,
1024,CMPT,320,BURNABY,16,TUT,18,
1024,CMPT,320,BURNABY,14,TUT,16,
1024,CMPT,320,BURNABY,40,LEC,40,
1024,CMPT,320,BURNABY,20,TUT,20,
1024,CMPT,320,BURNABY,20,TUT,20,
1024,CMPT,340,BURNABY,60,LEC,53,
1024,CMPT,354,BURNABY,65,LEC,64,
1024,CMPT,354,BURNABY,60,LEC,37,
1024,CMPT,354,BURNABY,5,LEC,0,
1024,CMPT,363,BURNABY,65,LEC,67,
1024,CMPT,371,BURNABY,65,LEC,63,
1024,CMPT,371,BURNABY,5,LEC,0,
1024,CMPT,405,BURNABY,55,LEC,25,
1024,CMPT,413,BURNABY,65,LEC,63,
1024,CMPT,413,BURNABY,5,LEC,0,
1024,CMPT,415,BURNABY,10,SEC,4,
1024,CMPT,426,BURNABY,50,SEC,20,
1024,ENSC,194,BURNABY,10,SEC,1,
1024,ENSC,195,BURNABY,30,SEC,4,
1024,ENSC,196,BURNABY,30,SEC,10,
1027,CMPT,150,BURNABY,20,TUT,18,
1027,CMPT,150,BURNABY,20,TUT,13,
